funcid,dim,milestone,error
17,10,1,4.090979e+02
17,10,2,3.060629e+02
17,10,3,3.060629e+02
17,10,5,1.141575e+02
17,10,10,8.654210e+01
17,10,20,5.406206e+01
17,10,30,5.406206e+01
17,10,40,5.406206e+01
17,10,50,5.064233e+01
17,10,60,3.051907e+01
17,10,70,2.529331e+01
17,10,80,2.527602e+01
17,10,90,2.527559e+01
17,10,100,2.527559e+01
17,10,1,2.056971e+02
17,10,2,2.056971e+02
17,10,3,2.056971e+02
17,10,5,1.401272e+02
17,10,10,5.727608e+01
17,10,20,5.727608e+01
17,10,30,5.727608e+01
17,10,40,4.907198e+01
17,10,50,4.907198e+01
17,10,60,2.906933e+01
17,10,70,2.052652e+01
17,10,80,2.023372e+01
17,10,90,2.023174e+01
17,10,100,2.023174e+01
17,10,1,1.988951e+02
17,10,2,1.988951e+02
17,10,3,1.988951e+02
17,10,5,1.843408e+02
17,10,10,4.762723e+01
17,10,20,4.762723e+01
17,10,30,4.762723e+01
17,10,40,4.762723e+01
17,10,50,4.717976e+01
17,10,60,2.544421e+01
17,10,70,1.370717e+01
17,10,80,1.365831e+01
17,10,90,1.365749e+01
17,10,100,1.365749e+01
17,10,1,1.994105e+02
17,10,2,1.994105e+02
17,10,3,1.994105e+02
17,10,5,1.018406e+02
17,10,10,6.714368e+01
17,10,20,6.456540e+01
17,10,30,5.935416e+01
17,10,40,5.935416e+01
17,10,50,5.602939e+01
17,10,60,3.946244e+01
17,10,70,2.600368e+00
17,10,80,2.426819e+00
17,10,90,2.426819e+00
17,10,100,2.424241e+00
17,10,1,4.348885e+02
17,10,2,2.898099e+02
17,10,3,2.077522e+02
17,10,5,1.346988e+02
17,10,10,5.751875e+01
17,10,20,5.751875e+01
17,10,30,5.751875e+01
17,10,40,5.751875e+01
17,10,50,5.556659e+01
17,10,60,3.223367e+01
17,10,70,2.574756e+01
17,10,80,2.553404e+01
17,10,90,2.540453e+01
17,10,100,2.538674e+01
