funcid,dim,milestone,error
27,10,1,5.387984e+02
27,10,2,5.387984e+02
27,10,3,5.299286e+02
27,10,5,4.259208e+02
27,10,10,4.163104e+02
27,10,20,4.066840e+02
27,10,30,4.066840e+02
27,10,40,4.066840e+02
27,10,50,4.066840e+02
27,10,60,3.943000e+02
27,10,70,3.941556e+02
27,10,80,3.941556e+02
27,10,90,3.941556e+02
27,10,100,3.941556e+02
27,10,1,5.176991e+02
27,10,2,5.176991e+02
27,10,3,5.040700e+02
27,10,5,4.373791e+02
27,10,10,4.138869e+02
27,10,20,4.114970e+02
27,10,30,4.071322e+02
27,10,40,4.071322e+02
27,10,50,4.050815e+02
27,10,60,4.022697e+02
27,10,70,4.019874e+02
27,10,80,3.978238e+02
27,10,90,3.978238e+02
27,10,100,3.978238e+02
27,10,1,5.351249e+02
27,10,2,5.351249e+02
27,10,3,5.351249e+02
27,10,5,4.401589e+02
27,10,10,4.113276e+02
27,10,20,4.113276e+02
27,10,30,4.056352e+02
27,10,40,4.056352e+02
27,10,50,4.056352e+02
27,10,60,3.995241e+02
27,10,70,3.994140e+02
27,10,80,3.994140e+02
27,10,90,3.994140e+02
27,10,100,3.994140e+02
27,10,1,4.622760e+02
27,10,2,4.622760e+02
27,10,3,4.622760e+02
27,10,5,4.247016e+02
27,10,10,4.050577e+02
27,10,20,4.050577e+02
27,10,30,4.050577e+02
27,10,40,4.050577e+02
27,10,50,4.050577e+02
27,10,60,4.019911e+02
27,10,70,4.018743e+02
27,10,80,4.018707e+02
27,10,90,4.016644e+02
27,10,100,3.992394e+02
27,10,1,5.428606e+02
27,10,2,5.309148e+02
27,10,3,5.309148e+02
27,10,5,4.531862e+02
27,10,10,4.295400e+02
27,10,20,4.116764e+02
27,10,30,4.116764e+02
27,10,40,4.116764e+02
27,10,50,4.086503e+02
27,10,60,3.989383e+02
27,10,70,3.980710e+02
27,10,80,3.980710e+02
27,10,90,3.980710e+02
27,10,100,3.980710e+02
