funcid,dim,milestone,error
19,10,1,2.007671e+05
19,10,2,2.007671e+05
19,10,3,2.007671e+05
19,10,5,1.214046e+04
19,10,10,2.540574e+03
19,10,20,7.488891e+02
19,10,30,7.488891e+02
19,10,40,1.062780e+02
19,10,50,1.062780e+02
19,10,60,1.062780e+02
19,10,70,1.062780e+02
19,10,80,1.062780e+02
19,10,90,1.062780e+02
19,10,100,8.812353e+01
19,10,1,8.532769e+04
19,10,2,8.532769e+04
19,10,3,5.783785e+03
19,10,5,5.783785e+03
19,10,10,9.083777e+02
19,10,20,2.351288e+02
19,10,30,2.351288e+02
19,10,40,2.351288e+02
19,10,50,9.118143e+01
19,10,60,9.026239e+01
19,10,70,8.948851e+01
19,10,80,8.731862e+01
19,10,90,8.572672e+01
19,10,100,7.963156e+00
19,10,1,9.167861e+05
19,10,2,3.006898e+04
19,10,3,3.006898e+04
19,10,5,6.337479e+03
19,10,10,4.441565e+03
19,10,20,1.625026e+02
19,10,30,3.888922e+01
19,10,40,3.888922e+01
19,10,50,3.888922e+01
19,10,60,2.466037e+01
19,10,70,2.466037e+01
19,10,80,2.466037e+01
19,10,90,2.466037e+01
19,10,100,2.030775e+01
19,10,1,1.967138e+04
19,10,2,1.967138e+04
19,10,3,1.967138e+04
19,10,5,8.032450e+03
19,10,10,4.007167e+03
19,10,20,1.613171e+03
19,10,30,4.350638e+01
19,10,40,4.350638e+01
19,10,50,4.350638e+01
19,10,60,4.350638e+01
19,10,70,2.191935e+01
19,10,80,2.191935e+01
19,10,90,2.191935e+01
19,10,100,2.191935e+01
19,10,1,5.274206e+04
19,10,2,5.274206e+04
19,10,3,3.148296e+04
19,10,5,5.049602e+03
19,10,10,7.958252e+02
19,10,20,2.357243e+02
19,10,30,2.357243e+02
19,10,40,2.147815e+02
19,10,50,2.147815e+02
19,10,60,1.770252e+02
19,10,70,3.642026e+01
19,10,80,1.513588e+01
19,10,90,1.503413e+01
19,10,100,1.501949e+01
