funcid,dim,milestone,error
10,10,1,2.173927e+03
10,10,2,1.971888e+03
10,10,3,1.795694e+03
10,10,5,1.795694e+03
10,10,10,1.143801e+03
10,10,20,1.107823e+03
10,10,30,1.074666e+03
10,10,40,8.681853e+02
10,10,50,8.681853e+02
10,10,60,8.681853e+02
10,10,70,7.084821e+02
10,10,80,5.135268e+02
10,10,90,1.725119e+01
10,10,100,1.538150e+01
10,10,1,2.221758e+03
10,10,2,2.160199e+03
10,10,3,2.160199e+03
10,10,5,1.847832e+03
10,10,10,1.123481e+03
10,10,20,1.037085e+03
10,10,30,1.037085e+03
10,10,40,8.482326e+02
10,10,50,8.482326e+02
10,10,60,8.002941e+02
10,10,70,5.358842e+02
10,10,80,4.010516e+02
10,10,90,3.736656e+02
10,10,100,3.729779e+02
10,10,1,2.191447e+03
10,10,2,2.161096e+03
10,10,3,1.982947e+03
10,10,5,1.676460e+03
10,10,10,1.548830e+03
10,10,20,1.261476e+03
10,10,30,9.581668e+02
10,10,40,9.581668e+02
10,10,50,9.581668e+02
10,10,60,9.581668e+02
10,10,70,5.360682e+02
10,10,80,5.060375e+02
10,10,90,5.060345e+02
10,10,100,5.060344e+02
10,10,1,1.699661e+03
10,10,2,1.699661e+03
10,10,3,1.699661e+03
10,10,5,1.699661e+03
10,10,10,1.499980e+03
10,10,20,1.158643e+03
10,10,30,1.008068e+03
10,10,40,1.008068e+03
10,10,50,7.623717e+02
10,10,60,6.005434e+02
10,10,70,5.203296e+02
10,10,80,5.199515e+02
10,10,90,5.199514e+02
10,10,100,5.199514e+02
10,10,1,2.208922e+03
10,10,2,2.142947e+03
10,10,3,2.142947e+03
10,10,5,1.918836e+03
10,10,10,1.398704e+03
10,10,20,1.398704e+03
10,10,30,1.398704e+03
10,10,40,1.273780e+03
10,10,50,8.958661e+02
10,10,60,8.713086e+02
10,10,70,2.460725e+02
10,10,80,2.456110e+02
10,10,90,2.456110e+02
10,10,100,2.456110e+02
