funcid,dim,milestone,error
8,50,1,3.418220e+02
8,50,2,2.778019e+02
8,50,3,2.711460e+02
8,50,5,2.681091e+02
8,50,10,2.676631e+02
8,50,20,2.676443e+02
8,50,30,2.676438e+02
8,50,40,2.676438e+02
8,50,50,2.676438e+02
8,50,60,2.676438e+02
8,50,70,2.676438e+02
8,50,80,2.676438e+02
8,50,90,2.676438e+02
8,50,100,2.676438e+02
8,50,1,3.576267e+02
8,50,2,2.928853e+02
8,50,3,2.882346e+02
8,50,5,2.867927e+02
8,50,10,2.865512e+02
8,50,20,2.865464e+02
8,50,30,2.865463e+02
8,50,40,2.865463e+02
8,50,50,2.865463e+02
8,50,60,2.865463e+02
8,50,70,2.865463e+02
8,50,80,2.865463e+02
8,50,90,2.865463e+02
8,50,100,2.865463e+02
8,50,1,4.120632e+02
8,50,2,3.520477e+02
8,50,3,3.369093e+02
8,50,5,3.317162e+02
8,50,10,3.313281e+02
8,50,20,3.313195e+02
8,50,30,3.313195e+02
8,50,40,3.313195e+02
8,50,50,3.313195e+02
8,50,60,3.313195e+02
8,50,70,3.313195e+02
8,50,80,3.313195e+02
8,50,90,3.313195e+02
8,50,100,3.313195e+02
8,50,1,3.118181e+02
8,50,2,2.514027e+02
8,50,3,2.433519e+02
8,50,5,2.409868e+02
8,50,10,2.407830e+02
8,50,20,2.407788e+02
8,50,30,2.407788e+02
8,50,40,2.407788e+02
8,50,50,2.407788e+02
8,50,60,2.407788e+02
8,50,70,2.407788e+02
8,50,80,2.407788e+02
8,50,90,2.407788e+02
8,50,100,2.407788e+02
8,50,1,2.863464e+02
8,50,2,2.322090e+02
8,50,3,2.266998e+02
8,50,5,2.250588e+02
8,50,10,2.248699e+02
8,50,20,2.248623e+02
8,50,30,2.248623e+02
8,50,40,2.248612e+02
8,50,50,2.248612e+02
8,50,60,2.248612e+02
8,50,70,2.248612e+02
8,50,80,2.248612e+02
8,50,90,2.248612e+02
8,50,100,2.248612e+02
