funcid,dim,milestone,error
10,50,1,9.058810e+03
10,50,2,6.395220e+03
10,50,3,5.883346e+03
10,50,5,5.793563e+03
10,50,10,5.777839e+03
10,50,20,5.765948e+03
10,50,30,5.765395e+03
10,50,40,5.764875e+03
10,50,50,5.764762e+03
10,50,60,5.764622e+03
10,50,70,5.764591e+03
10,50,80,5.764479e+03
10,50,90,5.764479e+03
10,50,100,5.764479e+03
10,50,1,7.792953e+03
10,50,2,5.090891e+03
10,50,3,4.617395e+03
10,50,5,4.413316e+03
10,50,10,4.339055e+03
10,50,20,4.331891e+03
10,50,30,4.328502e+03
10,50,40,4.324306e+03
10,50,50,4.311120e+03
10,50,60,4.310041e+03
10,50,70,4.309699e+03
10,50,80,3.956257e+03
10,50,90,3.953592e+03
10,50,100,3.952404e+03
10,50,1,1.035020e+04
10,50,2,8.186379e+03
10,50,3,7.813781e+03
10,50,5,7.735337e+03
10,50,10,7.416345e+03
10,50,20,7.406814e+03
10,50,30,7.406814e+03
10,50,40,7.406814e+03
10,50,50,7.406814e+03
10,50,60,7.406814e+03
10,50,70,7.406814e+03
10,50,80,7.406814e+03
10,50,90,7.406814e+03
10,50,100,7.406814e+03
10,50,1,9.176389e+03
10,50,2,7.159839e+03
10,50,3,6.849428e+03
10,50,5,6.580782e+03
10,50,10,6.496495e+03
10,50,20,6.485374e+03
10,50,30,6.485374e+03
10,50,40,6.485374e+03
10,50,50,6.485374e+03
10,50,60,6.485374e+03
10,50,70,6.485374e+03
10,50,80,6.485374e+03
10,50,90,6.485374e+03
10,50,100,6.485374e+03
10,50,1,1.071548e+04
10,50,2,7.177061e+03
10,50,3,6.191666e+03
10,50,5,6.053853e+03
10,50,10,5.992893e+03
10,50,20,5.750398e+03
10,50,30,5.729366e+03
10,50,40,5.724048e+03
10,50,50,5.699366e+03
10,50,60,5.693868e+03
10,50,70,5.689889e+03
10,50,80,5.681849e+03
10,50,90,5.681849e+03
10,50,100,5.680159e+03
