funcid,dim,milestone,error
11,10,1,2.034032e+02
11,10,2,1.604566e+02
11,10,3,1.323517e+02
11,10,5,1.033893e+02
11,10,10,8.836421e+00
11,10,20,8.547354e+00
11,10,30,8.303812e+00
11,10,40,8.052847e+00
11,10,50,7.787190e+00
11,10,60,7.193895e+00
11,10,70,6.981624e+00
11,10,80,6.671369e+00
11,10,90,6.549195e+00
11,10,100,6.444738e+00
11,10,1,2.242232e+02
11,10,2,4.765979e+01
11,10,3,1.800256e+01
11,10,5,9.686533e+00
11,10,10,9.306701e+00
11,10,20,8.956629e+00
11,10,30,8.695883e+00
11,10,40,8.542480e+00
11,10,50,8.482631e+00
11,10,60,8.425199e+00
11,10,70,8.361155e+00
11,10,80,8.316259e+00
11,10,90,8.275229e+00
11,10,100,8.247707e+00
11,10,1,1.513342e+02
11,10,2,8.090553e+01
11,10,3,6.163039e+01
11,10,5,5.847211e+01
11,10,10,5.748993e+01
11,10,20,5.748639e+01
11,10,30,5.748406e+01
11,10,40,5.747982e+01
11,10,50,5.747933e+01
11,10,60,5.746889e+01
11,10,70,5.746889e+01
11,10,80,5.746618e+01
11,10,90,5.746097e+01
11,10,100,5.745875e+01
11,10,1,1.381003e+02
11,10,2,6.818420e+01
11,10,3,3.937132e+01
11,10,5,3.054086e+01
11,10,10,2.926035e+01
11,10,20,2.889818e+01
11,10,30,2.859926e+01
11,10,40,2.827526e+01
11,10,50,2.802105e+01
11,10,60,2.775069e+01
11,10,70,2.731647e+01
11,10,80,2.707108e+01
11,10,90,2.682210e+01
11,10,100,2.655930e+01
11,10,1,1.120023e+02
11,10,2,5.555515e+01
11,10,3,3.471178e+01
11,10,5,2.582064e+01
11,10,10,2.487469e+01
11,10,20,2.487405e+01
11,10,30,2.487404e+01
11,10,40,2.487404e+01
11,10,50,2.487403e+01
11,10,60,2.487403e+01
11,10,70,2.487403e+01
11,10,80,2.487403e+01
11,10,90,2.487402e+01
11,10,100,2.487402e+01
