funcid,dim,milestone,error
17,10,1,1.026347e+02
17,10,2,8.504937e+01
17,10,3,6.640266e+01
17,10,5,6.203701e+01
17,10,10,6.098930e+01
17,10,20,6.079709e+01
17,10,30,6.078867e+01
17,10,40,6.078858e+01
17,10,50,6.078855e+01
17,10,60,6.078855e+01
17,10,70,6.078855e+01
17,10,80,6.078855e+01
17,10,90,6.078852e+01
17,10,100,6.078850e+01
17,10,1,8.430905e+01
17,10,2,5.797542e+01
17,10,3,4.823427e+01
17,10,5,4.575564e+01
17,10,10,4.558056e+01
17,10,20,4.558012e+01
17,10,30,4.557992e+01
17,10,40,4.557992e+01
17,10,50,4.557992e+01
17,10,60,4.557992e+01
17,10,70,4.554650e+01
17,10,80,4.554650e+01
17,10,90,4.554650e+01
17,10,100,4.554650e+01
17,10,1,1.453978e+02
17,10,2,6.760676e+01
17,10,3,5.860735e+01
17,10,5,5.618983e+01
17,10,10,5.508009e+01
17,10,20,5.502316e+01
17,10,30,5.500410e+01
17,10,40,5.500221e+01
17,10,50,5.500152e+01
17,10,60,5.500038e+01
17,10,70,5.500038e+01
17,10,80,5.499919e+01
17,10,90,5.499919e+01
17,10,100,5.499890e+01
17,10,1,7.523842e+01
17,10,2,6.726834e+01
17,10,3,5.992881e+01
17,10,5,5.921662e+01
17,10,10,5.901392e+01
17,10,20,5.901122e+01
17,10,30,5.901121e+01
17,10,40,5.901121e+01
17,10,50,5.901120e+01
17,10,60,5.881433e+01
17,10,70,5.881392e+01
17,10,80,5.881392e+01
17,10,90,5.881389e+01
17,10,100,5.881389e+01
17,10,1,1.284995e+02
17,10,2,6.120406e+01
17,10,3,4.359722e+01
17,10,5,3.451144e+01
17,10,10,3.424242e+01
17,10,20,3.424075e+01
17,10,30,3.424075e+01
17,10,40,3.424074e+01
17,10,50,3.424074e+01
17,10,60,3.424074e+01
17,10,70,3.424074e+01
17,10,80,3.424074e+01
17,10,90,3.424074e+01
17,10,100,3.424074e+01
