funcid,dim,milestone,error
16,10,1,1.807234e+02
16,10,2,1.372247e+02
16,10,3,1.252743e+02
16,10,5,1.246467e+02
16,10,10,1.246108e+02
16,10,20,1.245843e+02
16,10,30,1.245012e+02
16,10,40,1.242748e+02
16,10,50,1.242329e+02
16,10,60,1.241413e+02
16,10,70,1.240762e+02
16,10,80,1.230452e+02
16,10,90,1.219408e+02
16,10,100,1.217555e+02
16,10,1,3.220771e+02
16,10,2,2.634571e+02
16,10,3,2.578058e+02
16,10,5,2.568332e+02
16,10,10,2.564783e+02
16,10,20,2.552312e+02
16,10,30,2.551044e+02
16,10,40,2.550256e+02
16,10,50,2.548760e+02
16,10,60,2.547935e+02
16,10,70,2.547027e+02
16,10,80,2.547027e+02
16,10,90,2.547027e+02
16,10,100,2.547027e+02
16,10,1,5.021912e+02
16,10,2,2.352139e+02
16,10,3,1.850966e+02
16,10,5,1.422686e+02
16,10,10,1.349483e+02
16,10,20,1.341991e+02
16,10,30,1.340509e+02
16,10,40,1.339491e+02
16,10,50,1.339186e+02
16,10,60,1.337558e+02
16,10,70,1.336642e+02
16,10,80,1.336244e+02
16,10,90,1.335146e+02
16,10,100,1.330793e+02
16,10,1,3.346925e+02
16,10,2,2.976856e+02
16,10,3,2.778501e+02
16,10,5,2.730286e+02
16,10,10,2.723478e+02
16,10,20,2.713770e+02
16,10,30,2.713532e+02
16,10,40,2.713394e+02
16,10,50,2.713212e+02
16,10,60,2.713145e+02
16,10,70,2.713033e+02
16,10,80,2.712940e+02
16,10,90,2.712802e+02
16,10,100,2.712741e+02
16,10,1,4.425090e+02
16,10,2,1.658147e+02
16,10,3,1.401369e+02
16,10,5,1.232342e+02
16,10,10,1.215533e+02
16,10,20,1.210650e+02
16,10,30,1.208036e+02
16,10,40,1.208036e+02
16,10,50,1.207870e+02
16,10,60,1.207370e+02
16,10,70,1.207062e+02
16,10,80,1.206912e+02
16,10,90,1.206775e+02
16,10,100,1.206594e+02
