funcid,dim,milestone,error
19,30,1,1.844496e+05
19,30,2,1.376449e+04
19,30,3,1.360361e+04
19,30,5,1.357339e+04
19,30,10,1.348086e+04
19,30,20,1.346510e+04
19,30,30,1.179148e+04
19,30,40,1.097604e+04
19,30,50,1.092931e+04
19,30,60,1.092931e+04
19,30,70,1.092931e+04
19,30,80,1.082714e+04
19,30,90,1.082714e+04
19,30,100,1.056043e+04
19,30,1,4.300099e+05
19,30,2,1.856140e+04
19,30,3,1.548513e+04
19,30,5,1.536918e+04
19,30,10,1.534910e+04
19,30,20,1.533265e+04
19,30,30,1.533132e+04
19,30,40,1.530438e+04
19,30,50,1.530438e+04
19,30,60,1.530438e+04
19,30,70,1.530438e+04
19,30,80,1.530438e+04
19,30,90,1.530438e+04
19,30,100,1.530438e+04
