funcid,dim,milestone,error
29,30,1,2.383533e+03
29,30,2,1.724253e+03
29,30,3,1.550211e+03
29,30,5,1.312809e+03
29,30,10,1.214618e+03
29,30,20,1.157939e+03
29,30,30,1.147273e+03
29,30,40,1.147273e+03
29,30,50,9.150327e+02
29,30,60,9.150327e+02
29,30,70,9.150327e+02
29,30,80,9.150327e+02
29,30,90,9.150327e+02
29,30,100,9.150327e+02
29,30,1,1.401959e+03
29,30,2,1.030245e+03
29,30,3,9.275024e+02
29,30,5,8.459360e+02
29,30,10,8.050501e+02
29,30,20,7.915413e+02
29,30,30,7.768642e+02
29,30,40,7.712837e+02
29,30,50,6.567756e+02
29,30,60,6.567756e+02
29,30,70,6.567756e+02
29,30,80,6.567756e+02
29,30,90,6.567756e+02
29,30,100,6.567756e+02
