funcid,dim,milestone,error
27,30,1,8.781961e+02
27,30,2,6.355057e+02
27,30,3,6.004798e+02
27,30,5,5.783539e+02
27,30,10,5.625186e+02
27,30,20,5.605508e+02
27,30,30,5.603561e+02
27,30,40,5.603561e+02
27,30,50,5.603561e+02
27,30,60,5.603561e+02
27,30,70,5.603561e+02
27,30,80,5.603561e+02
27,30,90,5.603561e+02
27,30,100,5.603561e+02
27,30,1,7.857313e+02
27,30,2,6.623794e+02
27,30,3,6.352655e+02
27,30,5,6.158245e+02
27,30,10,6.095892e+02
27,30,20,6.068632e+02
27,30,30,6.061810e+02
27,30,40,6.059228e+02
27,30,50,6.059228e+02
27,30,60,6.059228e+02
27,30,70,6.059228e+02
27,30,80,6.059228e+02
27,30,90,6.059228e+02
27,30,100,6.059228e+02
