funcid,dim,milestone,error
16,10,1,5.989466e+02
16,10,2,5.989466e+02
16,10,3,3.939287e+02
16,10,5,1.789358e+02
16,10,10,1.718882e+02
16,10,20,1.457999e+01
16,10,30,8.529818e+00
16,10,40,8.529818e+00
16,10,50,8.529818e+00
16,10,60,4.992205e+00
16,10,70,4.728528e+00
16,10,80,4.706545e+00
16,10,90,4.695708e+00
16,10,100,4.695708e+00
16,10,1,4.202058e+02
16,10,2,4.202058e+02
16,10,3,3.638946e+02
16,10,5,2.972163e+02
16,10,10,1.106311e+02
16,10,20,2.645311e+01
16,10,30,2.645311e+01
16,10,40,5.157990e+00
16,10,50,5.157990e+00
16,10,60,4.002906e+00
16,10,70,1.164823e+00
16,10,80,1.162521e+00
16,10,90,1.162521e+00
16,10,100,1.162521e+00
16,10,1,6.165383e+02
16,10,2,5.948535e+02
16,10,3,2.542904e+02
16,10,5,1.648523e+02
16,10,10,1.265181e+02
16,10,20,7.691444e+01
16,10,30,2.945877e+01
16,10,40,2.945877e+01
16,10,50,2.945877e+01
16,10,60,2.438160e+00
16,10,70,1.153954e+00
16,10,80,8.334975e-01
16,10,90,7.880499e-01
16,10,100,7.880499e-01
16,10,1,8.174462e+02
16,10,2,2.734190e+02
16,10,3,2.734190e+02
16,10,5,2.734190e+02
16,10,10,1.474671e+02
16,10,20,9.591948e+00
16,10,30,9.591948e+00
16,10,40,9.591948e+00
16,10,50,9.591948e+00
16,10,60,2.633064e+00
16,10,70,2.472418e+00
16,10,80,2.416123e+00
16,10,90,2.416123e+00
16,10,100,2.416123e+00
16,10,1,3.552053e+02
16,10,2,3.552053e+02
16,10,3,3.552053e+02
16,10,5,3.551536e+02
16,10,10,1.843755e+02
16,10,20,6.828752e+00
16,10,30,6.828752e+00
16,10,40,6.828752e+00
16,10,50,6.828752e+00
16,10,60,2.950868e+00
16,10,70,1.148750e+00
16,10,80,9.489158e-01
16,10,90,9.489158e-01
16,10,100,9.489158e-01
