funcid,dim,milestone,error
19,10,1,3.866447e+04
19,10,2,3.866447e+04
19,10,3,5.495187e+03
19,10,5,1.000427e+03
19,10,10,3.732170e+02
19,10,20,3.732170e+02
19,10,30,1.644556e+02
19,10,40,1.644556e+02
19,10,50,1.644556e+02
19,10,60,1.060195e+02
19,10,70,9.778784e+01
19,10,80,9.778784e+01
19,10,90,9.778784e+01
19,10,100,9.419881e+01
19,10,1,4.644607e+04
19,10,2,4.644607e+04
19,10,3,1.920186e+04
19,10,5,1.751830e+04
19,10,10,1.004490e+02
19,10,20,1.004490e+02
19,10,30,1.004490e+02
19,10,40,1.004490e+02
19,10,50,1.004490e+02
19,10,60,4.149514e+01
19,10,70,4.000129e+01
19,10,80,4.000129e+01
19,10,90,4.000129e+01
19,10,100,3.774110e+01
19,10,1,4.508324e+03
19,10,2,4.508324e+03
19,10,3,4.508324e+03
19,10,5,9.275190e+02
19,10,10,1.033441e+02
19,10,20,6.494023e+01
19,10,30,6.494023e+01
19,10,40,6.059318e+01
19,10,50,6.059318e+01
19,10,60,3.264949e+01
19,10,70,7.091954e+00
19,10,80,6.238336e+00
19,10,90,6.237532e+00
19,10,100,6.237532e+00
19,10,1,2.160536e+05
19,10,2,2.160536e+05
19,10,3,1.060971e+03
19,10,5,1.383606e+02
19,10,10,1.204246e+02
19,10,20,3.548634e+01
19,10,30,3.548634e+01
19,10,40,3.548634e+01
19,10,50,2.391874e+01
19,10,60,2.391874e+01
19,10,70,2.235487e+01
19,10,80,2.212029e+01
19,10,90,2.212029e+01
19,10,100,2.212029e+01
19,10,1,1.570487e+05
19,10,2,1.570487e+05
19,10,3,3.286070e+03
19,10,5,1.175393e+03
19,10,10,1.156420e+03
19,10,20,1.313043e+02
19,10,30,7.344050e+01
19,10,40,7.344050e+01
19,10,50,7.344050e+01
19,10,60,7.250237e+01
19,10,70,4.932695e+01
19,10,80,4.432222e+01
19,10,90,4.432222e+01
19,10,100,4.432222e+01
