funcid,dim,milestone,error
25,10,1,5.988237e+02
25,10,2,4.818724e+02
25,10,3,4.648590e+02
25,10,5,4.119032e+02
25,10,10,3.997916e+02
25,10,20,3.996199e+02
25,10,30,3.996152e+02
25,10,40,3.996114e+02
25,10,50,3.996114e+02
25,10,60,3.996114e+02
25,10,70,3.978301e+02
25,10,80,3.978301e+02
25,10,90,3.978301e+02
25,10,100,3.978301e+02
25,10,1,5.863571e+02
25,10,2,4.604582e+02
25,10,3,4.517490e+02
25,10,5,4.450784e+02
25,10,10,4.446186e+02
25,10,20,4.445644e+02
25,10,30,4.439102e+02
25,10,40,4.437503e+02
25,10,50,4.437503e+02
25,10,60,4.437503e+02
25,10,70,4.437503e+02
25,10,80,4.437503e+02
25,10,90,4.437503e+02
25,10,100,4.437503e+02
25,10,1,4.736401e+02
25,10,2,4.565536e+02
25,10,3,4.501467e+02
25,10,5,4.463267e+02
25,10,10,4.443010e+02
25,10,20,4.439376e+02
25,10,30,4.438821e+02
25,10,40,4.438821e+02
25,10,50,4.438821e+02
25,10,60,4.438821e+02
25,10,70,4.438821e+02
25,10,80,4.438821e+02
25,10,90,4.438821e+02
25,10,100,4.438821e+02
25,10,1,5.152877e+02
25,10,2,4.783704e+02
25,10,3,4.681441e+02
25,10,5,4.538250e+02
25,10,10,4.494198e+02
25,10,20,4.490776e+02
25,10,30,4.490427e+02
25,10,40,4.490383e+02
25,10,50,4.488134e+02
25,10,60,4.480468e+02
25,10,70,4.411964e+02
25,10,80,4.060435e+02
25,10,90,4.057561e+02
25,10,100,4.057561e+02
25,10,1,5.119386e+02
25,10,2,4.682415e+02
25,10,3,4.573437e+02
25,10,5,4.499420e+02
25,10,10,4.482271e+02
25,10,20,4.448823e+02
25,10,30,4.446387e+02
25,10,40,4.446387e+02
25,10,50,4.446387e+02
25,10,60,4.446387e+02
25,10,70,4.439247e+02
25,10,80,4.439247e+02
25,10,90,4.439247e+02
25,10,100,4.439247e+02
