funcid,dim,milestone,error
22,10,1,1.472629e+02
22,10,2,1.145139e+02
22,10,3,1.088878e+02
22,10,5,1.062411e+02
22,10,10,1.032853e+02
22,10,20,1.007027e+02
22,10,30,1.007027e+02
22,10,40,1.007027e+02
22,10,50,1.007027e+02
22,10,60,1.007027e+02
22,10,70,1.006870e+02
22,10,80,1.006870e+02
22,10,90,1.006198e+02
22,10,100,1.005433e+02
22,10,1,1.994685e+02
22,10,2,1.217517e+02
22,10,3,1.119854e+02
22,10,5,1.077647e+02
22,10,10,1.021898e+02
22,10,20,1.012924e+02
22,10,30,1.011820e+02
22,10,40,1.010557e+02
22,10,50,1.007094e+02
22,10,60,1.007094e+02
22,10,70,1.007094e+02
22,10,80,1.007094e+02
22,10,90,1.007094e+02
22,10,100,1.007094e+02
22,10,1,1.700261e+02
22,10,2,1.148650e+02
22,10,3,1.115618e+02
22,10,5,1.078670e+02
22,10,10,1.029353e+02
22,10,20,1.020225e+02
22,10,30,1.011757e+02
22,10,40,1.011757e+02
22,10,50,1.011218e+02
22,10,60,1.010844e+02
22,10,70,1.010844e+02
22,10,80,1.010844e+02
22,10,90,1.010844e+02
22,10,100,1.010844e+02
22,10,1,1.873984e+02
22,10,2,1.278953e+02
22,10,3,1.133567e+02
22,10,5,1.082535e+02
22,10,10,1.019496e+02
22,10,20,1.019496e+02
22,10,30,1.011619e+02
22,10,40,1.011619e+02
22,10,50,1.005818e+02
22,10,60,1.005818e+02
22,10,70,1.005818e+02
22,10,80,1.005818e+02
22,10,90,1.005818e+02
22,10,100,1.005818e+02
22,10,1,1.903490e+02
22,10,2,1.214409e+02
22,10,3,1.140395e+02
22,10,5,1.078625e+02
22,10,10,1.015208e+02
22,10,20,1.004409e+02
22,10,30,1.004358e+02
22,10,40,1.004358e+02
22,10,50,1.004358e+02
22,10,60,1.004358e+02
22,10,70,1.004358e+02
22,10,80,1.004358e+02
22,10,90,1.004358e+02
22,10,100,1.004358e+02
