funcid,dim,milestone,error
13,30,1,5.541891e+04
13,30,2,1.053527e+04
13,30,3,7.446529e+03
13,30,5,4.818979e+03
13,30,10,3.897061e+03
13,30,20,3.741674e+03
13,30,30,3.736606e+03
13,30,40,3.728584e+03
13,30,50,3.707566e+03
13,30,60,3.626066e+03
13,30,70,3.626066e+03
13,30,80,3.626066e+03
13,30,90,3.584234e+03
13,30,100,3.584234e+03
13,30,1,2.466720e+05
13,30,2,3.748950e+04
13,30,3,3.269481e+04
13,30,5,3.003198e+04
13,30,10,2.841836e+04
13,30,20,2.791279e+04
13,30,30,2.790378e+04
13,30,40,2.790235e+04
13,30,50,2.783599e+04
13,30,60,2.781209e+04
13,30,70,2.780997e+04
13,30,80,2.780997e+04
13,30,90,2.780997e+04
13,30,100,2.780997e+04
13,30,1,8.179436e+04
13,30,2,2.113563e+04
13,30,3,5.260705e+03
13,30,5,3.270200e+03
13,30,10,1.706377e+03
13,30,20,1.361583e+03
13,30,30,1.358865e+03
13,30,40,1.331706e+03
13,30,50,1.174187e+03
13,30,60,1.120369e+03
13,30,70,1.072120e+03
13,30,80,1.072120e+03
13,30,90,1.019347e+03
13,30,100,9.713520e+02
13,30,1,5.967774e+05
13,30,2,6.889340e+04
13,30,3,4.213465e+04
13,30,5,1.866840e+04
13,30,10,7.692914e+03
13,30,20,6.060703e+03
13,30,30,5.994650e+03
13,30,40,5.993230e+03
13,30,50,5.991998e+03
13,30,60,5.991497e+03
13,30,70,5.991211e+03
13,30,80,5.990894e+03
13,30,90,5.990755e+03
13,30,100,5.990672e+03
13,30,1,5.757138e+05
13,30,2,2.556134e+04
13,30,3,1.845649e+04
13,30,5,1.276718e+04
13,30,10,1.166177e+04
13,30,20,1.039498e+04
13,30,30,1.038318e+04
13,30,40,9.843008e+03
13,30,50,9.841820e+03
13,30,60,9.841305e+03
13,30,70,9.840959e+03
13,30,80,9.840599e+03
13,30,90,9.840106e+03
13,30,100,9.839827e+03
