funcid,dim,milestone,error
16,30,1,1.356804e+03
16,30,2,1.151408e+03
16,30,3,1.109125e+03
16,30,5,1.061982e+03
16,30,10,1.056278e+03
16,30,20,1.055889e+03
16,30,30,1.055205e+03
16,30,40,1.054527e+03
16,30,50,1.053482e+03
16,30,60,1.050327e+03
16,30,70,1.036360e+03
16,30,80,9.960685e+02
16,30,90,9.959507e+02
16,30,100,9.959460e+02
16,30,1,1.832008e+03
16,30,2,1.655367e+03
16,30,3,1.595017e+03
16,30,5,1.555806e+03
16,30,10,1.503425e+03
16,30,20,1.499825e+03
16,30,30,1.499799e+03
16,30,40,1.499778e+03
16,30,50,1.499778e+03
16,30,60,1.499778e+03
16,30,70,1.499778e+03
16,30,80,1.499778e+03
16,30,90,1.499778e+03
16,30,100,1.499778e+03
16,30,1,2.042843e+03
16,30,2,1.423874e+03
16,30,3,1.254456e+03
16,30,5,1.055410e+03
16,30,10,1.038371e+03
16,30,20,1.038298e+03
16,30,30,1.038292e+03
16,30,40,1.038291e+03
16,30,50,1.038291e+03
16,30,60,1.038291e+03
16,30,70,1.038291e+03
16,30,80,1.038291e+03
16,30,90,1.038291e+03
16,30,100,1.038291e+03
16,30,1,1.498690e+03
16,30,2,1.330631e+03
16,30,3,1.245455e+03
16,30,5,1.212319e+03
16,30,10,1.193234e+03
16,30,20,1.193040e+03
16,30,30,1.193030e+03
16,30,40,1.193026e+03
16,30,50,1.193023e+03
16,30,60,1.193023e+03
16,30,70,1.193023e+03
16,30,80,1.193015e+03
16,30,90,1.193012e+03
16,30,100,1.193012e+03
16,30,1,1.996617e+03
16,30,2,1.908472e+03
16,30,3,1.762935e+03
16,30,5,1.714954e+03
16,30,10,1.686604e+03
16,30,20,1.674526e+03
16,30,30,1.635291e+03
16,30,40,1.634797e+03
16,30,50,1.634797e+03
16,30,60,1.634797e+03
16,30,70,1.634797e+03
16,30,80,1.634797e+03
16,30,90,1.634797e+03
16,30,100,1.634797e+03
