funcid,dim,milestone,error
13,30,1,5.399191e+05
13,30,2,3.938110e+05
13,30,3,3.938110e+05
13,30,5,4.578986e+04
13,30,10,1.864384e+04
13,30,20,1.004639e+04
13,30,30,7.578466e+03
13,30,40,7.036318e+03
13,30,50,5.986993e+03
13,30,60,5.985720e+03
13,30,70,5.985720e+03
13,30,80,5.985720e+03
13,30,90,5.985720e+03
13,30,100,5.985720e+03
13,30,1,2.579423e+05
13,30,2,1.050771e+05
13,30,3,1.050771e+05
13,30,5,9.105650e+04
13,30,10,2.188522e+04
13,30,20,1.522489e+04
13,30,30,1.278885e+04
13,30,40,1.267500e+04
13,30,50,1.259674e+04
13,30,60,1.258998e+04
13,30,70,1.258884e+04
13,30,80,1.258840e+04
13,30,90,1.258794e+04
13,30,100,1.258769e+04
13,30,1,1.566715e+05
13,30,2,1.054017e+05
13,30,3,1.054017e+05
13,30,5,1.000075e+05
13,30,10,6.074862e+04
13,30,20,4.358588e+04
13,30,30,4.120765e+04
13,30,40,4.114718e+04
13,30,50,4.111120e+04
13,30,60,4.111120e+04
13,30,70,4.111120e+04
13,30,80,4.101354e+04
13,30,90,4.101354e+04
13,30,100,4.101354e+04
13,30,1,1.969641e+05
13,30,2,1.226161e+05
13,30,3,1.226161e+05
13,30,5,1.138634e+05
13,30,10,3.304003e+04
13,30,20,2.190581e+04
13,30,30,2.041213e+04
13,30,40,2.019075e+04
13,30,50,1.967905e+04
13,30,60,1.961319e+04
13,30,70,1.960553e+04
13,30,80,1.960326e+04
13,30,90,1.958651e+04
13,30,100,1.958651e+04
13,30,1,9.441529e+04
13,30,2,5.916810e+04
13,30,3,5.916810e+04
13,30,5,5.656825e+04
13,30,10,4.011078e+04
13,30,20,3.201545e+04
13,30,30,2.941700e+04
13,30,40,2.936863e+04
13,30,50,2.936720e+04
13,30,60,2.936720e+04
13,30,70,2.936720e+04
13,30,80,2.936720e+04
13,30,90,2.934725e+04
13,30,100,2.934725e+04
