funcid,dim,milestone,error
7,30,1,4.224700e+02
7,30,2,3.638593e+02
7,30,3,3.638593e+02
7,30,5,3.634064e+02
7,30,10,3.424898e+02
7,30,20,3.306099e+02
7,30,30,2.696025e+02
7,30,40,2.642467e+02
7,30,50,2.642400e+02
7,30,60,2.605669e+02
7,30,70,2.605669e+02
7,30,80,2.605669e+02
7,30,90,2.605669e+02
7,30,100,2.605669e+02
7,30,1,4.199336e+02
7,30,2,3.297940e+02
7,30,3,3.297940e+02
7,30,5,3.059661e+02
7,30,10,2.551236e+02
7,30,20,2.527736e+02
7,30,30,2.527398e+02
7,30,40,2.527385e+02
7,30,50,2.527380e+02
7,30,60,2.527380e+02
7,30,70,2.527380e+02
7,30,80,2.527380e+02
7,30,90,2.527380e+02
7,30,100,2.527380e+02
7,30,1,3.733710e+02
7,30,2,3.376246e+02
7,30,3,3.376246e+02
7,30,5,3.269008e+02
7,30,10,2.850692e+02
7,30,20,2.763607e+02
7,30,30,2.761311e+02
7,30,40,2.761183e+02
7,30,50,2.761179e+02
7,30,60,2.761166e+02
7,30,70,2.761164e+02
7,30,80,2.761164e+02
7,30,90,2.761164e+02
7,30,100,2.761164e+02
7,30,1,5.097889e+02
7,30,2,4.668177e+02
7,30,3,4.668177e+02
7,30,5,4.591142e+02
7,30,10,4.024511e+02
7,30,20,3.962040e+02
7,30,30,3.961032e+02
7,30,40,3.960949e+02
7,30,50,3.960944e+02
7,30,60,3.960944e+02
7,30,70,3.960944e+02
7,30,80,3.960944e+02
7,30,90,3.960944e+02
7,30,100,3.960944e+02
7,30,1,3.285245e+02
7,30,2,2.480022e+02
7,30,3,2.426664e+02
7,30,5,1.988853e+02
7,30,10,1.773437e+02
7,30,20,1.648070e+02
7,30,30,1.648070e+02
7,30,40,1.648070e+02
7,30,50,1.648070e+02
7,30,60,1.648070e+02
7,30,70,1.648070e+02
7,30,80,1.648070e+02
7,30,90,1.648070e+02
7,30,100,1.648070e+02
