funcid,dim,milestone,error
4,30,1,4.373634e+02
4,30,2,1.592319e+02
4,30,3,1.142259e+02
4,30,5,9.885070e+01
4,30,10,8.958463e+01
4,30,20,8.866812e+01
4,30,30,8.866812e+01
4,30,40,8.866812e+01
4,30,50,8.866812e+01
4,30,60,8.758959e+01
4,30,70,8.703043e+01
4,30,80,8.693585e+01
4,30,90,8.686145e+01
4,30,100,8.679550e+01
4,30,1,7.413984e+02
4,30,2,1.698180e+02
4,30,3,1.013095e+02
4,30,5,7.473669e+01
4,30,10,7.028886e+01
4,30,20,7.006130e+01
4,30,30,7.006130e+01
4,30,40,7.006130e+01
4,30,50,7.006130e+01
4,30,60,6.959241e+01
4,30,70,6.917302e+01
4,30,80,6.896345e+01
4,30,90,6.879998e+01
4,30,100,6.874019e+01
4,30,1,4.255850e+02
4,30,2,1.867610e+02
4,30,3,1.447800e+02
4,30,5,1.276502e+02
4,30,10,1.004662e+02
4,30,20,9.543535e+01
4,30,30,9.543535e+01
4,30,40,9.543535e+01
4,30,50,7.892541e+01
4,30,60,7.332798e+01
4,30,70,7.303101e+01
4,30,80,7.275398e+01
4,30,90,7.243509e+01
4,30,100,7.224400e+01
4,30,1,4.082041e+02
4,30,2,1.710818e+02
4,30,3,1.479371e+02
4,30,5,1.267926e+02
4,30,10,1.148939e+02
4,30,20,8.418076e+01
4,30,30,7.513992e+01
4,30,40,7.202941e+01
4,30,50,7.202941e+01
4,30,60,6.960047e+01
4,30,70,6.940597e+01
4,30,80,6.931575e+01
4,30,90,6.925751e+01
4,30,100,6.925751e+01
4,30,1,2.446241e+02
4,30,2,1.156885e+02
4,30,3,9.345869e+01
4,30,5,7.613765e+01
4,30,10,7.149188e+01
4,30,20,7.043487e+01
4,30,30,7.043487e+01
4,30,40,7.043487e+01
4,30,50,7.043487e+01
4,30,60,7.036111e+01
4,30,70,6.996517e+01
4,30,80,6.972418e+01
4,30,90,6.953428e+01
4,30,100,6.941732e+01
