funcid,dim,milestone,error
15,30,1,6.818946e+05
15,30,2,1.674033e+04
15,30,3,1.500245e+04
15,30,5,1.486098e+04
15,30,10,1.483940e+04
15,30,20,1.065039e+04
15,30,30,1.006439e+04
15,30,40,1.006439e+04
15,30,50,1.006439e+04
15,30,60,1.006393e+04
15,30,70,1.006393e+04
15,30,80,1.006393e+04
15,30,90,1.006393e+04
15,30,100,1.006393e+04
15,30,1,9.884207e+04
15,30,2,1.435203e+04
15,30,3,1.247690e+04
15,30,5,1.211860e+04
15,30,10,1.204799e+04
15,30,20,1.204799e+04
15,30,30,1.041898e+04
15,30,40,4.797108e+03
15,30,50,4.213312e+03
15,30,60,3.856605e+03
15,30,70,3.853157e+03
15,30,80,3.853026e+03
15,30,90,3.853017e+03
15,30,100,3.853017e+03
15,30,1,4.867785e+05
15,30,2,3.423147e+04
15,30,3,2.443925e+04
15,30,5,2.375768e+04
15,30,10,2.341942e+04
15,30,20,2.055490e+04
15,30,30,1.569074e+04
15,30,40,8.102962e+03
15,30,50,7.040419e+03
15,30,60,7.026411e+03
15,30,70,6.952754e+03
15,30,80,6.951531e+03
15,30,90,6.951386e+03
15,30,100,6.951386e+03
15,30,1,5.542197e+05
15,30,2,3.074595e+04
15,30,3,2.161907e+04
15,30,5,2.055618e+04
15,30,10,1.994651e+04
15,30,20,1.990839e+04
15,30,30,2.964405e+03
15,30,40,2.928001e+03
15,30,50,2.928001e+03
15,30,60,2.911073e+03
15,30,70,2.895166e+03
15,30,80,2.895150e+03
15,30,90,2.895098e+03
15,30,100,2.895098e+03
15,30,1,4.453626e+05
15,30,2,3.177264e+03
15,30,3,2.376719e+03
15,30,5,2.207550e+03
15,30,10,2.152478e+03
15,30,20,2.149307e+03
15,30,30,2.149307e+03
15,30,40,2.149307e+03
15,30,50,2.149307e+03
15,30,60,2.149307e+03
15,30,70,2.149307e+03
15,30,80,2.149307e+03
15,30,90,2.149307e+03
15,30,100,2.149307e+03
