funcid,dim,milestone,error
5,30,1,2.716501e+02
5,30,2,1.673119e+02
5,30,3,6.051806e+01
5,30,5,4.554824e+01
5,30,10,4.004924e+01
5,30,20,3.988198e+01
5,30,30,3.988198e+01
5,30,40,3.988198e+01
5,30,50,3.988198e+01
5,30,60,3.988198e+01
5,30,70,3.980224e+01
5,30,80,3.980224e+01
5,30,90,3.980224e+01
5,30,100,3.980224e+01
5,30,1,2.232045e+02
5,30,2,1.693667e+02
5,30,3,1.358864e+02
5,30,5,1.323454e+02
5,30,10,1.314629e+02
5,30,20,9.667999e+01
5,30,30,6.875059e+01
5,30,40,6.680490e+01
5,30,50,6.680490e+01
5,30,60,6.380153e+01
5,30,70,6.380153e+01
5,30,80,6.380153e+01
5,30,90,6.380153e+01
5,30,100,6.380153e+01
5,30,1,2.159806e+02
5,30,2,1.162578e+02
5,30,3,8.275870e+01
5,30,5,7.439379e+01
5,30,10,7.171800e+01
5,30,20,6.362381e+01
5,30,30,6.309225e+01
5,30,40,6.309225e+01
5,30,50,4.602545e+01
5,30,60,4.597171e+01
5,30,70,4.584440e+01
5,30,80,4.584440e+01
5,30,90,4.584440e+01
5,30,100,4.584440e+01
5,30,1,1.889334e+02
5,30,2,1.290611e+02
5,30,3,7.856789e+01
5,30,5,6.703496e+01
5,30,10,6.552731e+01
5,30,20,6.531260e+01
5,30,30,6.531260e+01
5,30,40,6.385343e+01
5,30,50,6.385343e+01
5,30,60,6.385343e+01
5,30,70,6.385343e+01
5,30,80,6.385343e+01
5,30,90,6.385343e+01
5,30,100,6.385343e+01
5,30,1,2.653428e+02
5,30,2,1.850704e+02
5,30,3,1.007466e+02
5,30,5,8.673783e+01
5,30,10,8.302418e+01
5,30,20,8.277922e+01
5,30,30,7.634137e+01
5,30,40,7.634137e+01
5,30,50,7.634137e+01
5,30,60,7.476939e+01
5,30,70,7.476939e+01
5,30,80,7.476939e+01
5,30,90,7.476939e+01
5,30,100,7.476939e+01
