funcid,dim,milestone,error
30,50,1,6.844027e+07
30,50,2,7.075392e+06
30,50,3,2.441320e+06
30,50,5,1.614616e+06
30,50,10,1.614616e+06
30,50,20,1.451334e+06
30,50,30,1.359477e+06
30,50,40,1.239139e+06
30,50,50,1.148887e+06
30,50,60,1.148887e+06
30,50,70,9.284261e+05
30,50,80,9.197971e+05
30,50,90,9.197971e+05
30,50,100,9.197971e+05
30,50,1,2.576337e+07
30,50,2,3.571205e+06
30,50,3,1.449119e+06
30,50,5,1.000920e+06
30,50,10,9.921569e+05
30,50,20,9.921569e+05
30,50,30,9.921569e+05
30,50,40,9.921569e+05
30,50,50,9.921569e+05
30,50,60,9.921569e+05
30,50,70,8.509368e+05
30,50,80,8.356828e+05
30,50,90,8.356828e+05
30,50,100,8.356828e+05
30,50,1,4.165412e+07
30,50,2,4.149571e+06
30,50,3,1.964996e+06
30,50,5,1.301548e+06
30,50,10,1.294518e+06
30,50,20,1.271349e+06
30,50,30,1.271349e+06
30,50,40,1.271349e+06
30,50,50,1.218343e+06
30,50,60,1.082143e+06
30,50,70,8.590740e+05
30,50,80,8.545009e+05
30,50,90,8.545009e+05
30,50,100,8.545009e+05
30,50,1,6.093453e+07
30,50,2,6.663286e+06
30,50,3,2.441847e+06
30,50,5,1.497245e+06
30,50,10,1.457394e+06
30,50,20,1.457394e+06
30,50,30,1.457394e+06
30,50,40,1.457394e+06
30,50,50,1.074238e+06
30,50,60,1.059995e+06
30,50,70,1.059995e+06
30,50,80,1.059995e+06
30,50,90,1.059995e+06
30,50,100,1.059995e+06
30,50,1,5.317689e+07
30,50,2,5.343380e+06
30,50,3,1.882583e+06
30,50,5,1.279757e+06
30,50,10,1.244342e+06
30,50,20,1.121469e+06
30,50,30,1.121469e+06
30,50,40,1.121469e+06
30,50,50,1.116375e+06
30,50,60,8.633050e+05
30,50,70,7.958561e+05
30,50,80,7.958561e+05
30,50,90,7.958561e+05
30,50,100,7.958561e+05
