funcid,dim,milestone,error
7,50,1,6.143010e+02
7,50,2,4.179711e+02
7,50,3,2.758077e+02
7,50,5,2.758077e+02
7,50,10,2.758077e+02
7,50,20,2.425213e+02
7,50,30,2.425213e+02
7,50,40,2.425213e+02
7,50,50,2.425213e+02
7,50,60,1.777452e+02
7,50,70,1.769008e+02
7,50,80,1.769008e+02
7,50,90,1.769008e+02
7,50,100,1.769008e+02
7,50,1,6.158638e+02
7,50,2,4.972395e+02
7,50,3,3.559636e+02
7,50,5,1.897162e+02
7,50,10,1.767780e+02
7,50,20,1.767780e+02
7,50,30,1.767780e+02
7,50,40,1.767780e+02
7,50,50,1.767780e+02
7,50,60,1.767780e+02
7,50,70,1.767780e+02
7,50,80,1.767780e+02
7,50,90,1.767780e+02
7,50,100,1.767780e+02
7,50,1,6.187121e+02
7,50,2,4.374888e+02
7,50,3,2.653836e+02
7,50,5,2.145317e+02
7,50,10,2.145317e+02
7,50,20,2.145317e+02
7,50,30,2.145317e+02
7,50,40,2.145317e+02
7,50,50,2.117389e+02
7,50,60,1.824714e+02
7,50,70,1.691115e+02
7,50,80,1.691115e+02
7,50,90,1.691115e+02
7,50,100,1.691115e+02
7,50,1,5.998863e+02
7,50,2,5.006473e+02
7,50,3,4.619518e+02
7,50,5,2.695122e+02
7,50,10,2.609797e+02
7,50,20,2.099021e+02
7,50,30,2.099021e+02
7,50,40,2.099021e+02
7,50,50,2.011423e+02
7,50,60,1.872246e+02
7,50,70,1.663743e+02
7,50,80,1.663743e+02
7,50,90,1.663743e+02
7,50,100,1.663743e+02
7,50,1,6.494946e+02
7,50,2,5.084523e+02
7,50,3,3.217258e+02
7,50,5,2.488867e+02
7,50,10,2.488867e+02
7,50,20,2.288640e+02
7,50,30,2.288640e+02
7,50,40,2.288640e+02
7,50,50,2.288640e+02
7,50,60,2.131373e+02
7,50,70,1.783206e+02
7,50,80,1.728569e+02
7,50,90,1.728569e+02
7,50,100,1.728569e+02
