funcid,dim,milestone,error
9,50,1,4.655095e+03
9,50,2,4.834938e+02
9,50,3,1.355244e+02
9,50,5,3.281257e+01
9,50,10,3.066148e+01
9,50,20,3.066148e+01
9,50,30,3.066148e+01
9,50,40,3.066148e+01
9,50,50,3.066148e+01
9,50,60,1.439664e+01
9,50,70,1.236947e+01
9,50,80,1.236947e+01
9,50,90,1.236947e+01
9,50,100,1.236947e+01
9,50,1,3.141067e+03
9,50,2,7.732943e+02
9,50,3,1.522210e+02
9,50,5,5.619640e+01
9,50,10,3.714704e+01
9,50,20,3.714704e+01
9,50,30,3.714704e+01
9,50,40,2.646996e+01
9,50,50,2.646996e+01
9,50,60,1.986939e+01
9,50,70,9.938833e+00
9,50,80,9.938833e+00
9,50,90,9.938833e+00
9,50,100,9.938833e+00
9,50,1,5.244940e+03
9,50,2,9.268258e+02
9,50,3,4.538580e+02
9,50,5,1.860584e+02
9,50,10,1.166066e+02
9,50,20,1.166066e+02
9,50,30,6.285108e+01
9,50,40,5.304832e+01
9,50,50,5.143494e+01
9,50,60,2.908233e+01
9,50,70,1.795620e+01
9,50,80,1.221104e+01
9,50,90,1.221104e+01
9,50,100,1.221104e+01
9,50,1,5.277179e+03
9,50,2,1.045439e+03
9,50,3,3.727060e+02
9,50,5,1.879855e+02
9,50,10,1.800087e+02
9,50,20,4.607557e+01
9,50,30,4.607557e+01
9,50,40,4.607557e+01
9,50,50,4.607557e+01
9,50,60,3.288929e+01
9,50,70,1.753860e+01
9,50,80,1.227126e+01
9,50,90,1.227126e+01
9,50,100,1.227126e+01
9,50,1,5.643067e+03
9,50,2,1.259403e+03
9,50,3,3.455552e+02
9,50,5,1.573893e+02
9,50,10,1.275944e+02
9,50,20,5.603919e+01
9,50,30,5.603919e+01
9,50,40,5.603919e+01
9,50,50,5.287470e+01
9,50,60,2.133689e+01
9,50,70,9.184850e+00
9,50,80,9.184850e+00
9,50,90,9.184850e+00
9,50,100,9.184850e+00
