funcid,dim,milestone,error
11,50,1,4.997121e+03
11,50,2,1.357339e+03
11,50,3,5.264742e+02
11,50,5,2.868733e+02
11,50,10,2.868733e+02
11,50,20,2.347797e+02
11,50,30,2.347797e+02
11,50,40,2.347797e+02
11,50,50,2.347797e+02
11,50,60,2.073114e+02
11,50,70,1.679789e+02
11,50,80,1.679789e+02
11,50,90,1.679789e+02
11,50,100,1.679789e+02
11,50,1,8.957153e+03
11,50,2,5.039252e+03
11,50,3,1.446769e+03
11,50,5,6.025908e+02
11,50,10,3.165107e+02
11,50,20,3.165107e+02
11,50,30,1.944630e+02
11,50,40,1.944630e+02
11,50,50,1.944630e+02
11,50,60,1.944630e+02
11,50,70,1.443792e+02
11,50,80,1.260901e+02
11,50,90,1.260901e+02
11,50,100,1.260901e+02
11,50,1,1.015587e+04
11,50,2,2.792717e+03
11,50,3,8.553326e+02
11,50,5,5.218618e+02
11,50,10,3.175427e+02
11,50,20,3.149685e+02
11,50,30,3.149685e+02
11,50,40,3.149685e+02
11,50,50,3.149685e+02
11,50,60,1.685991e+02
11,50,70,1.238868e+02
11,50,80,1.219074e+02
11,50,90,1.219074e+02
11,50,100,1.219074e+02
11,50,1,4.232709e+03
11,50,2,1.208645e+03
11,50,3,4.359571e+02
11,50,5,2.520753e+02
11,50,10,2.130786e+02
11,50,20,2.128291e+02
11,50,30,2.128291e+02
11,50,40,2.128291e+02
11,50,50,2.128291e+02
11,50,60,1.483834e+02
11,50,70,1.396282e+02
11,50,80,1.396282e+02
11,50,90,1.396282e+02
11,50,100,1.396282e+02
11,50,1,7.782469e+03
11,50,2,2.838244e+03
11,50,3,7.911542e+02
11,50,5,4.491900e+02
11,50,10,3.032054e+02
11,50,20,3.032054e+02
11,50,30,3.032054e+02
11,50,40,3.032054e+02
11,50,50,3.032054e+02
11,50,60,1.724560e+02
11,50,70,1.647907e+02
11,50,80,1.647907e+02
11,50,90,1.647907e+02
11,50,100,1.647907e+02
