funcid,dim,milestone,error
12,50,1,4.159020e+08
12,50,2,3.896898e+07
12,50,3,1.746240e+07
12,50,5,9.512027e+06
12,50,10,8.731527e+06
12,50,20,6.058181e+06
12,50,30,6.004107e+06
12,50,40,6.004107e+06
12,50,50,4.151581e+06
12,50,60,3.397939e+06
12,50,70,1.646857e+06
12,50,80,1.393728e+06
12,50,90,1.393728e+06
12,50,100,1.393728e+06
12,50,1,3.641431e+08
12,50,2,1.093129e+07
12,50,3,3.300091e+06
12,50,5,2.050077e+06
12,50,10,1.872988e+06
12,50,20,1.872988e+06
12,50,30,1.872988e+06
12,50,40,1.872988e+06
12,50,50,1.872988e+06
12,50,60,1.872988e+06
12,50,70,8.900715e+05
12,50,80,7.898012e+05
12,50,90,7.898012e+05
12,50,100,7.898012e+05
12,50,1,4.247548e+08
12,50,2,2.423964e+07
12,50,3,1.043758e+07
12,50,5,7.659372e+06
12,50,10,7.602821e+06
12,50,20,2.923169e+06
12,50,30,2.688802e+06
12,50,40,2.688802e+06
12,50,50,2.688802e+06
12,50,60,2.688802e+06
12,50,70,2.688802e+06
12,50,80,2.688802e+06
12,50,90,2.688802e+06
12,50,100,2.688802e+06
12,50,1,4.994974e+08
12,50,2,2.834906e+07
12,50,3,1.244488e+07
12,50,5,6.055787e+06
12,50,10,5.720745e+06
12,50,20,5.720745e+06
12,50,30,5.720745e+06
12,50,40,5.720745e+06
12,50,50,5.720745e+06
12,50,60,2.801703e+06
12,50,70,1.640972e+06
12,50,80,1.570794e+06
12,50,90,1.570794e+06
12,50,100,1.570794e+06
12,50,1,4.984931e+08
12,50,2,5.011151e+07
12,50,3,1.757844e+07
12,50,5,1.008921e+07
12,50,10,8.804910e+06
12,50,20,6.654977e+06
12,50,30,6.564834e+06
12,50,40,6.564834e+06
12,50,50,5.963543e+06
12,50,60,3.920268e+06
12,50,70,2.535899e+06
12,50,80,2.070596e+06
12,50,90,2.070596e+06
12,50,100,2.070596e+06
