funcid,dim,milestone,error
13,10,1,6.446741e+05
13,10,2,7.122697e+03
13,10,3,3.455408e+03
13,10,5,3.341974e+03
13,10,10,3.289367e+03
13,10,20,3.289325e+03
13,10,30,3.289325e+03
13,10,40,3.289325e+03
13,10,50,3.289325e+03
13,10,60,3.229089e+03
13,10,70,3.224468e+03
13,10,80,3.224117e+03
13,10,90,3.224117e+03
13,10,100,3.188349e+03
13,10,1,3.904232e+04
13,10,2,2.002240e+04
13,10,3,1.946703e+04
13,10,5,1.846529e+04
13,10,10,1.840886e+04
13,10,20,1.423816e+03
13,10,30,1.422488e+03
13,10,40,1.422488e+03
13,10,50,1.422488e+03
13,10,60,1.422488e+03
13,10,70,1.422488e+03
13,10,80,1.422488e+03
13,10,90,1.422488e+03
13,10,100,1.422488e+03
13,10,1,1.871426e+04
13,10,2,1.421287e+04
13,10,3,1.051886e+04
13,10,5,8.278993e+03
13,10,10,8.136722e+03
13,10,20,4.088053e+02
13,10,30,3.802172e+02
13,10,40,3.802172e+02
13,10,50,3.802172e+02
13,10,60,9.860056e+01
13,10,70,4.106064e+01
13,10,80,4.062029e+01
13,10,90,4.054115e+01
13,10,100,4.051917e+01
13,10,1,6.918831e+04
13,10,2,1.939393e+04
13,10,3,1.937248e+04
13,10,5,1.931986e+04
13,10,10,1.930709e+04
13,10,20,1.814398e+04
13,10,30,1.251441e+03
13,10,40,1.226330e+03
13,10,50,1.226330e+03
13,10,60,1.226330e+03
13,10,70,1.226330e+03
13,10,80,1.226330e+03
13,10,90,1.226330e+03
13,10,100,1.226330e+03
13,10,1,9.815881e+03
13,10,2,1.406426e+03
13,10,3,1.228774e+03
13,10,5,7.106133e+02
13,10,10,5.584163e+02
13,10,20,5.261175e+02
13,10,30,5.261175e+02
13,10,40,5.261175e+02
13,10,50,5.261175e+02
13,10,60,4.946967e+02
13,10,70,4.945558e+02
13,10,80,4.944960e+02
13,10,90,4.944476e+02
13,10,100,1.201754e+02
