funcid,dim,milestone,error
25,10,1,4.899427e+02
25,10,2,4.172828e+02
25,10,3,4.048553e+02
25,10,5,3.998220e+02
25,10,10,3.997578e+02
25,10,20,3.997207e+02
25,10,30,3.997207e+02
25,10,40,3.997207e+02
25,10,50,3.997207e+02
25,10,60,3.995989e+02
25,10,70,3.995851e+02
25,10,80,3.995850e+02
25,10,90,3.995850e+02
25,10,100,3.995850e+02
25,10,1,4.547337e+02
25,10,2,4.504267e+02
25,10,3,4.491664e+02
25,10,5,4.483259e+02
25,10,10,4.483167e+02
25,10,20,4.465347e+02
25,10,30,3.984602e+02
25,10,40,3.979241e+02
25,10,50,3.979241e+02
25,10,60,3.977728e+02
25,10,70,3.977574e+02
25,10,80,3.977574e+02
25,10,90,3.977574e+02
25,10,100,3.977574e+02
25,10,1,5.385279e+02
25,10,2,4.475786e+02
25,10,3,4.355095e+02
25,10,5,4.037013e+02
25,10,10,3.979627e+02
25,10,20,3.979468e+02
25,10,30,3.979468e+02
25,10,40,3.979468e+02
25,10,50,3.048443e+02
25,10,60,3.013665e+02
25,10,70,3.000482e+02
25,10,80,3.000010e+02
25,10,90,3.000007e+02
25,10,100,3.000003e+02
25,10,1,4.689129e+02
25,10,2,4.497263e+02
25,10,3,4.452407e+02
25,10,5,4.444019e+02
25,10,10,4.442386e+02
25,10,20,4.086842e+02
25,10,30,4.013311e+02
25,10,40,4.013311e+02
25,10,50,4.013311e+02
25,10,60,3.987849e+02
25,10,70,3.985443e+02
25,10,80,3.985078e+02
25,10,90,3.985077e+02
25,10,100,3.985077e+02
25,10,1,5.012244e+02
25,10,2,4.658833e+02
25,10,3,4.551705e+02
25,10,5,4.462565e+02
25,10,10,4.076160e+02
25,10,20,4.030330e+02
25,10,30,4.030330e+02
25,10,40,4.030330e+02
25,10,50,4.001176e+02
25,10,60,3.991856e+02
25,10,70,3.991494e+02
25,10,80,3.991159e+02
25,10,90,3.988752e+02
25,10,100,3.988752e+02
