funcid,dim,milestone,error
21,10,1,2.677406e+02
21,10,2,2.432095e+02
21,10,3,2.267674e+02
21,10,5,2.226258e+02
21,10,10,2.184270e+02
21,10,20,2.132232e+02
21,10,30,1.327077e+02
21,10,40,4.425883e+00
21,10,50,4.425883e+00
21,10,60,3.230744e-01
21,10,70,3.823208e-03
21,10,80,5.417180e-04
21,10,90,7.592044e-05
21,10,100,3.901678e-05
21,10,1,2.418535e+02
21,10,2,2.273159e+02
21,10,3,2.180056e+02
21,10,5,2.165789e+02
21,10,10,2.164537e+02
21,10,20,1.108553e+02
21,10,30,1.066561e+02
21,10,40,1.066561e+02
21,10,50,1.066561e+02
21,10,60,1.044678e+02
21,10,70,1.030771e+02
21,10,80,1.026594e+02
21,10,90,1.026387e+02
21,10,100,1.026273e+02
21,10,1,2.657160e+02
21,10,2,2.356308e+02
21,10,3,2.212756e+02
21,10,5,2.187604e+02
21,10,10,2.187422e+02
21,10,20,2.150378e+02
21,10,30,2.096200e+02
21,10,40,2.095296e+02
21,10,50,2.095296e+02
21,10,60,2.095296e+02
21,10,70,2.095296e+02
21,10,80,2.095296e+02
21,10,90,2.095296e+02
21,10,100,2.095296e+02
21,10,1,2.627100e+02
21,10,2,2.355311e+02
21,10,3,2.327729e+02
21,10,5,2.311609e+02
21,10,10,2.309694e+02
21,10,20,1.123014e+02
21,10,30,1.070283e+02
21,10,40,1.070283e+02
21,10,50,1.070283e+02
21,10,60,1.036353e+02
21,10,70,1.007736e+02
21,10,80,1.000374e+02
21,10,90,1.000001e+02
21,10,100,1.000001e+02
21,10,1,2.664492e+02
21,10,2,2.363011e+02
21,10,3,2.244892e+02
21,10,5,2.207245e+02
21,10,10,2.206391e+02
21,10,20,2.206390e+02
21,10,30,1.144952e+02
21,10,40,1.144952e+02
21,10,50,1.144952e+02
21,10,60,1.053994e+02
21,10,70,1.026686e+02
21,10,80,1.020442e+02
21,10,90,1.015517e+02
21,10,100,1.013852e+02
