funcid,dim,milestone,error
20,10,1,1.571418e+02
20,10,2,6.582649e+01
20,10,3,4.431087e+01
20,10,5,4.131112e+01
20,10,10,4.056599e+01
20,10,20,3.284349e+01
20,10,30,3.284349e+01
20,10,40,3.284349e+01
20,10,50,2.002530e+01
20,10,60,6.519430e-02
20,10,70,4.207521e-02
20,10,80,4.207521e-02
20,10,90,4.207521e-02
20,10,100,4.207521e-02
20,10,1,6.204134e+01
20,10,2,2.907025e+01
20,10,3,2.298794e+01
20,10,5,2.217053e+01
20,10,10,2.131498e+01
20,10,20,2.130991e+01
20,10,30,1.751381e+01
20,10,40,1.723106e+01
20,10,50,1.723106e+01
20,10,60,1.723106e+01
20,10,70,1.723106e+01
20,10,80,1.723106e+01
20,10,90,1.723106e+01
20,10,100,1.723106e+01
20,10,1,2.252563e+02
20,10,2,1.600348e+02
20,10,3,1.554941e+02
20,10,5,6.326290e+01
20,10,10,2.131955e+01
20,10,20,2.130250e+01
20,10,30,7.504044e+00
20,10,40,5.345411e+00
20,10,50,5.345411e+00
20,10,60,1.564191e+00
20,10,70,1.314404e+00
20,10,80,1.314404e+00
20,10,90,1.314404e+00
20,10,100,1.314404e+00
20,10,1,2.346831e+02
20,10,2,7.120215e+01
20,10,3,5.194983e+01
20,10,5,4.195977e+01
20,10,10,4.156409e+01
20,10,20,2.135297e+01
20,10,30,2.130618e+01
20,10,40,1.408494e+01
20,10,50,2.303344e+00
20,10,60,1.588283e+00
20,10,70,1.326190e+00
20,10,80,1.326190e+00
20,10,90,1.148851e+00
20,10,100,1.148851e+00
20,10,1,1.095299e+02
20,10,2,5.997779e+01
20,10,3,4.052890e+01
20,10,5,3.903233e+00
20,10,10,2.654301e+00
20,10,20,2.621516e+00
20,10,30,2.621516e+00
20,10,40,2.621516e+00
20,10,50,2.621516e+00
20,10,60,1.719778e+00
20,10,70,1.622754e+00
20,10,80,1.622754e+00
20,10,90,1.622754e+00
20,10,100,1.622754e+00
