funcid,dim,milestone,error
26,10,1,6.722046e+02
26,10,2,5.307000e+02
26,10,3,4.630932e+02
26,10,5,3.140541e+02
26,10,10,3.002782e+02
26,10,20,3.000334e+02
26,10,30,3.000334e+02
26,10,40,3.000334e+02
26,10,50,3.000334e+02
26,10,60,3.000334e+02
26,10,70,3.000334e+02
26,10,80,3.000098e+02
26,10,90,3.000022e+02
26,10,100,3.000022e+02
26,10,1,8.595951e+02
26,10,2,4.328776e+02
26,10,3,3.449412e+02
26,10,5,3.011591e+02
26,10,10,3.001020e+02
26,10,20,3.000873e+02
26,10,30,3.000873e+02
26,10,40,3.000873e+02
26,10,50,3.000291e+02
26,10,60,3.000291e+02
26,10,70,3.000291e+02
26,10,80,3.000291e+02
26,10,90,3.000291e+02
26,10,100,3.000291e+02
26,10,1,6.652027e+02
26,10,2,4.466988e+02
26,10,3,3.992744e+02
26,10,5,3.742784e+02
26,10,10,3.558202e+02
26,10,20,3.321221e+02
26,10,30,3.083142e+02
26,10,40,3.083142e+02
26,10,50,3.083142e+02
26,10,60,3.001842e+02
26,10,70,3.001842e+02
26,10,80,3.000293e+02
26,10,90,3.000293e+02
26,10,100,3.000293e+02
26,10,1,6.571966e+02
26,10,2,3.539913e+02
26,10,3,3.193014e+02
26,10,5,3.019927e+02
26,10,10,3.004290e+02
26,10,20,3.002091e+02
26,10,30,3.002091e+02
26,10,40,3.002085e+02
26,10,50,3.002085e+02
26,10,60,3.002085e+02
26,10,70,3.002085e+02
26,10,80,3.001639e+02
26,10,90,3.001639e+02
26,10,100,3.001639e+02
26,10,1,9.539329e+02
26,10,2,4.730094e+02
26,10,3,4.430046e+02
26,10,5,3.865115e+02
26,10,10,3.509580e+02
26,10,20,3.022728e+02
26,10,30,3.001859e+02
26,10,40,3.001103e+02
26,10,50,3.001103e+02
26,10,60,3.001103e+02
26,10,70,3.001103e+02
26,10,80,3.001103e+02
26,10,90,3.001103e+02
26,10,100,3.001103e+02
