funcid,dim,milestone,error
9,50,1,7.108240e+03
9,50,2,6.219600e+03
9,50,3,6.057582e+03
9,50,5,4.564522e+03
9,50,10,3.819064e+03
9,50,20,3.566626e+03
9,50,30,3.531669e+03
9,50,40,3.529553e+03
9,50,50,3.529553e+03
9,50,60,3.529553e+03
9,50,70,3.529553e+03
9,50,80,3.529553e+03
9,50,90,3.529553e+03
9,50,100,3.529352e+03
9,50,1,1.214449e+04
9,50,2,1.198583e+04
9,50,3,9.393009e+03
9,50,5,6.372829e+03
9,50,10,4.408512e+03
9,50,20,4.267617e+03
9,50,30,4.252093e+03
9,50,40,4.241509e+03
9,50,50,4.219036e+03
9,50,60,4.213145e+03
9,50,70,4.208277e+03
9,50,80,4.203452e+03
9,50,90,4.199119e+03
9,50,100,4.196001e+03
