funcid,dim,milestone,error
10,50,1,6.684726e+03
10,50,2,6.439021e+03
10,50,3,5.977754e+03
10,50,5,5.385878e+03
10,50,10,5.184008e+03
10,50,20,5.160973e+03
10,50,30,5.157748e+03
10,50,40,5.157172e+03
10,50,50,5.155560e+03
10,50,60,5.154945e+03
10,50,70,5.154493e+03
10,50,80,5.154108e+03
10,50,90,5.153423e+03
10,50,100,5.151555e+03
10,50,1,7.430954e+03
10,50,2,6.263077e+03
10,50,3,6.140221e+03
10,50,5,5.439664e+03
10,50,10,5.312220e+03
10,50,20,5.288804e+03
10,50,30,5.275383e+03
10,50,40,5.269645e+03
10,50,50,5.269344e+03
10,50,60,5.269325e+03
10,50,70,5.269325e+03
10,50,80,5.269325e+03
10,50,90,5.269325e+03
10,50,100,5.269325e+03
