funcid,dim,milestone,error
10,10,1,1.425289e+03
10,10,2,1.160804e+03
10,10,3,5.657743e+02
10,10,5,2.814491e+02
10,10,10,2.722456e+02
10,10,20,2.619980e+02
10,10,30,2.619974e+02
10,10,40,2.619955e+02
10,10,50,2.619955e+02
10,10,60,2.619955e+02
10,10,70,2.619955e+02
10,10,80,2.619955e+02
10,10,90,2.619955e+02
10,10,100,2.619955e+02
10,10,1,1.900969e+03
10,10,2,1.468592e+03
10,10,3,1.066910e+03
10,10,5,9.426364e+02
10,10,10,9.381703e+02
10,10,20,9.233609e+02
10,10,30,9.233106e+02
10,10,40,7.216404e+02
10,10,50,7.124275e+02
10,10,60,7.123923e+02
10,10,70,7.123600e+02
10,10,80,7.123330e+02
10,10,90,7.123055e+02
10,10,100,7.121588e+02
10,10,1,1.635653e+03
10,10,2,6.274232e+02
10,10,3,4.248927e+02
10,10,5,3.666305e+02
10,10,10,3.666305e+02
10,10,20,3.587952e+02
10,10,30,3.587942e+02
10,10,40,3.587925e+02
10,10,50,3.587924e+02
10,10,60,3.587924e+02
10,10,70,3.587924e+02
10,10,80,3.587924e+02
10,10,90,3.587924e+02
10,10,100,3.587924e+02
10,10,1,1.652452e+03
10,10,2,1.051681e+03
10,10,3,8.377932e+02
10,10,5,8.138452e+02
10,10,10,8.138452e+02
10,10,20,8.136579e+02
10,10,30,8.136575e+02
10,10,40,8.136564e+02
10,10,50,8.136564e+02
10,10,60,8.136564e+02
10,10,70,8.136564e+02
10,10,80,8.136564e+02
10,10,90,8.136564e+02
10,10,100,8.136564e+02
10,10,1,1.701469e+03
10,10,2,1.684801e+03
10,10,3,1.035510e+03
10,10,5,6.867316e+02
10,10,10,6.813871e+02
10,10,20,6.756749e+02
10,10,30,6.756735e+02
10,10,40,6.756733e+02
10,10,50,6.756733e+02
10,10,60,6.756733e+02
10,10,70,6.756733e+02
10,10,80,6.756733e+02
10,10,90,6.756733e+02
10,10,100,6.756733e+02
