funcid,dim,milestone,error
8,10,1,4.420204e+01
8,10,2,2.568911e+01
8,10,3,2.495057e+01
8,10,5,2.488395e+01
8,10,10,2.488395e+01
8,10,20,2.487407e+01
8,10,30,2.487407e+01
8,10,40,2.487400e+01
8,10,50,2.487394e+01
8,10,60,2.487394e+01
8,10,70,2.487393e+01
8,10,80,2.487393e+01
8,10,90,2.487393e+01
8,10,100,2.487393e+01
8,10,1,2.632594e+01
8,10,2,1.286937e+01
8,10,3,1.209572e+01
8,10,5,1.195539e+01
8,10,10,1.195539e+01
8,10,20,1.194016e+01
8,10,30,1.193973e+01
8,10,40,1.193955e+01
8,10,50,1.193951e+01
8,10,60,1.193951e+01
8,10,70,1.193951e+01
8,10,80,1.193950e+01
8,10,90,1.193950e+01
8,10,100,1.193950e+01
8,10,1,5.542234e+01
8,10,2,2.923700e+01
8,10,3,2.759696e+01
8,10,5,2.693926e+01
8,10,10,2.693926e+01
8,10,20,2.686537e+01
8,10,30,2.686420e+01
8,10,40,2.686390e+01
8,10,50,2.686384e+01
8,10,60,2.686384e+01
8,10,70,2.686384e+01
8,10,80,2.686383e+01
8,10,90,2.686383e+01
8,10,100,2.686383e+01
8,10,1,2.841033e+01
8,10,2,2.261272e+01
8,10,3,2.129769e+01
8,10,5,2.097088e+01
8,10,10,2.097088e+01
8,10,20,2.089435e+01
8,10,30,2.089431e+01
8,10,40,2.089418e+01
8,10,50,2.089412e+01
8,10,60,2.089412e+01
8,10,70,2.089412e+01
8,10,80,2.089411e+01
8,10,90,2.089411e+01
8,10,100,2.089410e+01
8,10,1,4.569394e+01
8,10,2,2.224461e+01
8,10,3,1.679071e+01
8,10,5,1.595170e+01
8,10,10,1.595170e+01
8,10,20,1.591966e+01
8,10,30,1.591966e+01
8,10,40,1.591934e+01
8,10,50,1.591933e+01
8,10,60,1.591933e+01
8,10,70,1.591933e+01
8,10,80,1.591933e+01
8,10,90,1.591933e+01
8,10,100,1.591933e+01
