funcid,dim,milestone,error
21,10,1,2.509470e+02
21,10,2,2.229272e+02
21,10,3,2.164083e+02
21,10,5,2.155618e+02
21,10,10,2.155618e+02
21,10,20,2.152191e+02
21,10,30,2.152174e+02
21,10,40,2.152172e+02
21,10,50,2.152171e+02
21,10,60,2.152171e+02
21,10,70,2.152171e+02
21,10,80,2.152171e+02
21,10,90,2.152171e+02
21,10,100,2.152171e+02
21,10,1,2.408883e+02
21,10,2,2.235197e+02
21,10,3,2.226151e+02
21,10,5,2.225340e+02
21,10,10,2.225340e+02
21,10,20,2.225328e+02
21,10,30,2.225328e+02
21,10,40,2.225328e+02
21,10,50,2.225328e+02
21,10,60,2.225328e+02
21,10,70,2.225328e+02
21,10,80,2.225328e+02
21,10,90,2.225328e+02
21,10,100,2.225328e+02
21,10,1,2.450592e+02
21,10,2,2.309040e+02
21,10,3,2.291371e+02
21,10,5,2.287711e+02
21,10,10,2.287711e+02
21,10,20,2.287615e+02
21,10,30,2.287615e+02
21,10,40,2.287614e+02
21,10,50,2.287614e+02
21,10,60,2.287614e+02
21,10,70,2.287614e+02
21,10,80,2.287614e+02
21,10,90,2.287614e+02
21,10,100,2.287614e+02
21,10,1,2.582214e+02
21,10,2,2.412738e+02
21,10,3,2.379306e+02
21,10,5,2.379306e+02
21,10,10,2.378433e+02
21,10,20,2.375516e+02
21,10,30,2.375425e+02
21,10,40,2.375425e+02
21,10,50,2.375423e+02
21,10,60,2.375423e+02
21,10,70,2.375423e+02
21,10,80,2.375423e+02
21,10,90,2.375423e+02
21,10,100,2.375423e+02
21,10,1,2.504808e+02
21,10,2,2.330369e+02
21,10,3,2.316980e+02
21,10,5,2.315758e+02
21,10,10,2.315758e+02
21,10,20,2.315106e+02
21,10,30,2.315088e+02
21,10,40,2.315081e+02
21,10,50,2.315079e+02
21,10,60,2.315078e+02
21,10,70,2.315077e+02
21,10,80,2.315077e+02
21,10,90,2.315077e+02
21,10,100,2.315077e+02
